地價區段號,主要項目代號,主要項目,修正細項,表3所載內容,優劣等級序號,總級數,優劣等級
P001-00,1,土地使用管制,都市計畫（內、外）,都市計畫內,1,2,優
P001-00,1,土地使用管制,使用分區（使用地類別）,第一種住宅區,2,5,稍優
P001-00,1,土地使用管制,建蔽率,50%,4,5,稍劣
P001-00,1,土地使用管制,容積率,260%,3,5,普通
P001-00,1,土地使用管制,有無禁止建築,無,1,2,優
P001-00,1,土地使用管制,有無限制建築（整體開發、面積限制、高度限制……等）,無,1,3,優
P001-00,2,交通運輸,主要道路寬度,名稱：八德街 寬度：28M,1,5,優
P001-00,2,交通運輸,區段內道路平均寬度,12M,3,5,普通
P001-00,2,交通運輸,區段內道路規劃及闢建程度,大部分規劃及闢建,2,5,稍優
P001-00,3,自然條件,日照,充分,1,5,優
P001-00,3,自然條件,景觀,視野、景觀尚可,3,5,普通
P001-00,3,自然條件,傾斜度,平均坡度未滿5度,1,5,優
P001-00,3,自然條件,排水之良否,普通完善,3,5,普通
P001-00,3,自然條件,地勢,極平坦堅硬,1,5,優
P001-00,4,土地改良,建築基地改良（整平或填挖基地、開挖水溝、水土保持、鋪築道路、埋設管道、修築駁嵌等）或其他改良,勾選 4 項：整平或填挖基地、開挖水溝、鋪築道路、埋設管道,1,5,優
P002-00,1,土地使用管制,都市計畫（內、外）,都市計畫內,1,2,優
P002-00,1,土地使用管制,使用分區（使用地類別）,第一種住宅區,2,5,稍優
P002-00,1,土地使用管制,建蔽率,50%,4,5,稍劣
P002-00,1,土地使用管制,容積率,200%,4,5,稍劣
P002-00,1,土地使用管制,有無禁止建築,無,1,2,優
P002-00,1,土地使用管制,有無限制建築（整體開發、面積限制、高度限制……等）,無,1,3,優
P002-00,2,交通運輸,主要道路寬度,名稱：樹人街 寬度：7M,5,5,劣
P002-00,2,交通運輸,區段內道路平均寬度,6M,5,5,劣
P002-00,2,交通運輸,區段內道路規劃及闢建程度,部分規劃及闢建,3,5,普通
P002-00,3,自然條件,日照,充分,1,5,優
P002-00,3,自然條件,景觀,視野、景觀尚可,3,5,普通
P002-00,3,自然條件,傾斜度,平均坡度未滿5度,1,5,優
P002-00,3,自然條件,排水之良否,普通完善,3,5,普通
P002-00,3,自然條件,地勢,極平坦堅硬,1,5,優
P002-00,4,土地改良,建築基地改良（整平或填挖基地、開挖水溝、水土保持、鋪築道路、埋設管道、修築駁嵌等）或其他改良,勾選 4 項：整平或填挖基地、開挖水溝、鋪築道路、埋設管道,1,5,優
P003-00,1,土地使用管制,都市計畫（內、外）,都市計畫內,1,2,優
P003-00,1,土地使用管制,使用分區（使用地類別）,第一種住宅區,2,5,稍優
P003-00,1,土地使用管制,建蔽率,50%,4,5,稍劣
P003-00,1,土地使用管制,容積率,260%,3,5,普通
P003-00,1,土地使用管制,有無禁止建築,無,1,2,優
P003-00,1,土地使用管制,有無限制建築（整體開發、面積限制、高度限制……等）,無,1,3,優
P003-00,2,交通運輸,主要道路寬度,東榮街 寬度：10M,4,5,稍劣
P003-00,2,交通運輸,區段內道路平均寬度,7M,5,5,劣
P003-00,2,交通運輸,區段內道路規劃及闢建程度,全部規劃及闢建,1,5,優
P003-00,3,自然條件,日照,充分,1,5,優
P003-00,3,自然條件,景觀,視野、景觀尚可,3,5,普通
P003-00,3,自然條件,傾斜度,平均坡度未滿5度,1,5,優
P003-00,3,自然條件,排水之良否,普通完善,3,5,普通
P003-00,3,自然條件,地勢,極平坦堅硬,1,5,優
P003-00,4,土地改良,建築基地改良（整平或填挖基地、開挖水溝、水土保持、鋪築道路、埋設管道、修築駁嵌等）或其他改良,勾選 4 項：整平或填挖基地、開挖水溝、鋪築道路、埋設管道,1,5,優
P004-00,1,土地使用管制,都市計畫（內、外）,都市計畫內,1,2,優
P004-00,1,土地使用管制,使用分區（使用地類別）,第一種住宅區,2,5,稍優
P004-00,1,土地使用管制,建蔽率,50%,4,5,稍劣
P004-00,1,土地使用管制,容積率,260%,3,5,普通
P004-00,1,土地使用管制,有無禁止建築,無,1,2,優
P004-00,1,土地使用管制,有無限制建築（整體開發、面積限制、高度限制……等）,無,1,3,優
P004-00,2,交通運輸,主要道路寬度,名稱：潭興街 寬度：10M,4,5,稍劣
P004-00,2,交通運輸,區段內道路平均寬度,7M,5,5,劣
P004-00,2,交通運輸,區段內道路規劃及闢建程度,全部規劃及闢建,1,5,優
P004-00,3,自然條件,日照,充分,1,5,優
P004-00,3,自然條件,景觀,視野、景觀尚可,3,5,普通
P004-00,3,自然條件,傾斜度,平均坡度未滿5度,1,5,優
P004-00,3,自然條件,排水之良否,普通完善,3,5,普通
P004-00,3,自然條件,地勢,極平坦堅硬,1,5,優
P004-00,4,土地改良,建築基地改良（整平或填挖基地、開挖水溝、水土保持、鋪築道路、埋設管道、修築駁嵌等）或其他改良,勾選 4 項：整平或填挖基地、開挖水溝、鋪築道路、埋設管道,1,5,優
