主要項目,編號,修正細項,比準地 P001-00 條件,P002-00 條件,P002-00 差異率%,P003-00 條件,P003-00 差異率%,P004-00 條件,P004-00 差異率%,狀態,依據／缺漏原因
(1)宗地條件,7,面積,—,—,—,—,—,—,—,資料不足,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）
(1)宗地條件,8,寬度,—,—,—,—,—,—,—,資料不足,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）
(1)宗地條件,9,深度,—,—,—,—,—,—,—,資料不足,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）
(1)宗地條件,10,形狀,—,—,—,—,—,—,—,資料不足,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）
(1)宗地條件,11,臨街情形,—,—,—,—,—,—,—,資料不足,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）
(1)宗地條件,12,地勢,極平坦堅硬,極平坦堅硬,+0.00,極平坦堅硬,+0.00,極平坦堅硬,+0.00,推定,表3 區段層級「地勢」；宗地地勢未經個別勘查，屬區段推定：極平坦堅硬
(2)道路條件,13,道路種類,—,—,—,—,—,—,—,資料不足,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查：道路種類、面前道路名稱與寬度；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查
(2)道路條件,14,面前道路寬度,—,—,—,—,—,—,—,資料不足,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查：道路種類、面前道路名稱與寬度；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查
(3)接近條件,15,接近學校之程度,—,—,—,—,—,—,—,資料不足,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查
(3)接近條件,16,接近市場之程度,—,—,—,—,—,—,—,資料不足,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查
