主要項目,修正細項,比準地 P001-00,P002-00 等級,P002-00 修正%,P003-00 等級,P003-00 修正%,P004-00 等級,P004-00 修正%,狀態
(1)土地使用管制,都市計畫（內、外）,1 優,1 優,+0.00,1 優,+0.00,1 優,+0.00,確認
(1)土地使用管制,使用分區（使用地類別）,2 稍優,2 稍優,+0.00,2 稍優,+0.00,2 稍優,+0.00,確認
(1)土地使用管制,建蔽率,4 稍劣,4 稍劣,+0.00,4 稍劣,+0.00,4 稍劣,+0.00,確認
(1)土地使用管制,容積率,3 普通,4 稍劣,+6.25,3 普通,+0.00,3 普通,+0.00,確認
(1)土地使用管制,有無禁止建築,1 優,1 優,+0.00,1 優,+0.00,1 優,+0.00,確認
(1)土地使用管制,有無限制建築（整體開發、面積限制、高度限制……等）,1 優,1 優,+0.00,1 優,+0.00,1 優,+0.00,確認
(2)交通運輸,主要道路寬度,1 優,5 劣,+15.00,4 稍劣,+11.25,4 稍劣,+11.25,確認
(2)交通運輸,區段內道路平均寬度,3 普通,5 劣,+6.00,5 劣,+6.00,5 劣,+6.00,確認
(2)交通運輸,接近大型車站之程度,—,—,—,—,—,—,—,資料不足
(2)交通運輸,站牌之接近程度或密集程度,—,—,—,—,—,—,—,資料不足
(2)交通運輸,交流道之有無及接近交流道之程度,—,—,—,—,—,—,—,資料不足
(2)交通運輸,區段內道路規劃及闢建程度,2 稍優,3 普通,+2.50,1 優,-2.50,1 優,-2.50,確認
(3)自然條件,日照,1 優,1 優,+0.00,1 優,+0.00,1 優,+0.00,確認
(3)自然條件,景觀,3 普通,3 普通,+0.00,3 普通,+0.00,3 普通,+0.00,確認
(3)自然條件,傾斜度,1 優,1 優,+0.00,1 優,+0.00,1 優,+0.00,確認
(3)自然條件,排水之良否,3 普通,3 普通,+0.00,3 普通,+0.00,3 普通,+0.00,確認
(3)自然條件,地勢,1 優,1 優,+0.00,1 優,+0.00,1 優,+0.00,確認
(4)土地改良,建築基地改良（整平或填挖基地、開挖水溝、水土保持、鋪築道路、埋設管道、修築駁嵌等）或其他改良,1 優,1 優,+0.00,1 優,+0.00,1 優,+0.00,確認
(5)公共建設,接近學校之程度（國小、國中、高中、大專院校）,—,—,—,—,—,—,—,資料不足
(5)公共建設,接近市場之程度（傳統市場、超級市場、超大型購物中心）,—,—,—,—,—,—,—,資料不足
(5)公共建設,接近公園（里鄰公園、一般公園）、廣場、徒步區之程度,—,—,—,—,—,—,—,資料不足
(5)公共建設,接近觀光遊憩設施之程度,—,—,—,—,—,—,—,資料不足
(5)公共建設,停車場地之便利程度,—,—,—,—,—,—,—,資料不足
(5)公共建設,接近服務性設施的程度（郵局、銀行、醫院、機關等設施）,—,—,—,—,—,—,—,資料不足
(6)特殊設施,電業設施及公用氣體燃料設施之有無及接近程度,—,—,—,—,—,—,—,資料不足
(6)特殊設施,殯葬設施之有無及接近程度,—,—,—,—,—,—,—,資料不足
(6)特殊設施,廢棄物處理設施之有無及接近程度,—,—,—,—,—,—,—,資料不足
(7)環境污染,水污染、噪音污染、廢氣污染、廢棄物污染等之有無及接近程度,—,—,—,—,—,—,—,資料不足
(8)其他影響因素,其他影響因素,—,—,+0.00,—,+0.00,—,+0.00,源文件已載
